Breed,Weight,Height,Price,Lifespan,GoodWithKids,Trainability,Intelligence,Adaptability,CatFriendly,DogFriendly,Shedding,Hypoallergenic,Watchdog
"St. Bernard Smooth Coat/Anatol Shepherd",192,60,1350,12,4,2,3,3,3,3,3,False,5
"Staffordshire/Beagle",30,28,1300,14,4,2,4,4,2,3,3,False,2
"Staffordshire/Blue Lacy",40,31,1375,14,3,2,3,3,2,2,3,False,3
"Staffordshire/Boxer",47,32,1500,13,3,2,4,3,2,2,3,False,4
"Staffordshire/French Bulldog",31,26,2050,13,2,2,3,4,1,2,2,False,2
"Standard Poodle/Whippet",20,58,1350,15,2,4,4,4,2,3,1,True,3
"Standard Schnauzer/Border Terrier",29,33,1250,14,4,5,3,4,3,3,1,True,5
"Standard Schnauzer/Toy Poodle",27,55,1500,14,3,5,4,4,4,4,1,True,5
"Swedish Vallhund/Miniature Poodle",20,47,1250,14,3,5,4,5,4,3,3,False,5
"Swiss Hound/Pit Bull",65,22,700,14,2,2,3,5,1,1,1,False,5
"Tibetan Spaniel",15,25,900,15,4,3,3,5,5,5,3,False,5
"Toy Fox Terrier/Dachshund",20,19,700,14,2,3,4,5,4,2,2,False,4
"Toy Poodle/Maltese",9,35,1150,15,1,4,4,5,4,4,1,True,4
"Toy Poodle/Yorkshire Terrier",9,34,1100,15,1,4,4,5,4,3,2,True,4
"Treeing Tennesse Brindle",50,25,800,14,3,3,4,4,3,3,3,False,3
"Vizsla/Boxer",61,44,1200,13,3,4,4,4,3,2,2,False,4
"Vizsla/Catahoula",72,43,875,14,3,4,4,4,3,2,2,False,4
"Vizsla/Rhod Ridgeback",74,65,1200,13,4,4,5,4,2,2,2,False,2
"Vizsla/Staffordshire",49,52,1500,14,3,3,4,4,2,2,2,False,3
"Welsh Springer Spaniel",44,46,1400,15,5,5,4,5,4,5,3,False,5
"Welsh Springer Spaniel Mix",44,46,1400,15,5,5,4,5,4,5,3,False,5
"West Highland/Chihuahua Shorthair",13,13,1000,17,2,3,3,4,4,3,1,False,4
"Whippet/Australian Cattle Dog",32,38,900,15,4,4,4,3,2,3,2,False,3
"Whippet/Beagle",27,36,1000,15,4,2,3,4,2,4,2,False,1
"Whippet/Borzoi",59,42,950,12,2,2,3,3,1,2,3,False,1
"Whippet/Chihuahua Shorthair",18,33,1000,16,2,3,3,4,3,3,1,False,2
"Whippet/Jack Russell Terrier",23,35,1100,15,3,4,4,4,1,2,2,False,3
"Whippet/Miniature Pinscher",20,42,900,15,3,3,4,4,2,2,2,False,2
"Whippet/Shetland Sheepdog",28,36,950,14,3,4,4,4,3,3,2,False,3
"Whippet/Whippet",30,56,1200,15,3,3,3,4,1,3,2,True,1
"Wire Hair Fox Terrier/German Shepherd",54,21,1150,12,5,4,4,5,2,2,4,False,5
"Yorkshire Terrier/Bruss Griffon",9,14,750,15,1,2,4,4,4,3,2,True,4
"Yorkshire Terrier/Dachshund Wirehair",20,9,650,15,1,2,4,5,3,2,2,False,4
"Yorkshire Terrier/Parson Russell Terrier",11,23,600,15,2,4,4,5,2,1,3,False,4
"Yorkshire Terrier/Pomeranian",7,10,750,16,1,3,3,5,4,2,2,False,3
"Yorkshire Terrier/Toy Poodle",9,34,1100,15,1,4,4,5,4,3,2,True,4
"Airedale Terrier/Irish Terrier",46,34,725,13,4,3,4,5,1,1,2,True,5
"Akita/Border Collie",71,24,850,15,4,4,4,5,3,3,4,False,5
"Akita/Great Pyrenees",108,29,950,13,3,2,4,4,3,3,5,False,5
"Alaskan Malamute/Alaskan Husky",86,24,1100,17,3,2,3,4,1,3,4,False,3
"Alaskan Malamute/Labrador Retriever",81,24,1250,14,4,3,4,4,2,3,4,False,4
"American Bulldog/Basset Hound",97,43,700,13,4,3,3,4,4,4,3,False,2
"American Bulldog/Blue Lacy",82,46,925,14,3,3,3,3,3,3,3,False,3
"American Bulldog/English Bulldog",100,65,1700,14,3,3,3,3,3,3,3,False,3
"American Pit Bull Terrier/Pit Bull",65,22,700,14,2,2,3,5,1,1,1,False,5
"American Staffordshire Terrier/Australian Cattle Dog",61,19,750,13,3,3,4,4,2,2,2,False,5
"American Staffordshire Terrier/Jack Russell Terrier",52,16,950,14,2,3,4,5,1,1,2,False,5
"American Staffordshire Terrier/Pit Bull",76,20,800,13,2,2,3,5,1,1,1,False,5
"American Staffordshire Terrier/Rhod Ridgeback",86,42,1050,12,3,3,4,4,1,1,1,False,3
"Anatol Shepherd/Mastiff",145,33,1200,13,4,2,3,3,3,2,3,False,5
"Australian Cattle Dog/Australian Kelpie",40,20,600,14,4,5,4,4,3,3,3,False,5
"Australian Cattle Dog/Black Mouth Cur",65,22,475,15,4,4,4,3,3,3,3,False,4
"Australian Cattle Dog/Boston Terrier",30,18,700,15,5,4,4,4,4,4,2,False,4
"Australian Cattle Dog/Cairn Terrier",26,16,800,15,4,4,4,3,3,3,3,False,5
"Australian Cattle Dog/English Coonhound",49,23,775,13,4,4,4,3,3,3,3,False,4
"Australian Cattle Dog/Pug",26,24,500,15,4,4,4,4,4,4,3,False,4
"Australian Cattle Dog/Treeing Walker Coonhound",51,44,600,14,4,3,4,3,2,3,3,False,3
"Australian Cattle Dog/Vizsla",49,42,900,15,4,5,5,4,3,3,2,False,4
"Australian Kelpie/Dachshund",39,14,600,14,2,3,4,5,3,2,2,False,5
"Australian Kelpie/German Shepherd",67,23,1050,12,4,5,4,5,3,2,4,False,5
"Australian Kelpie/Rat Terrier",35,19,550,16,4,5,4,5,3,3,3,False,5
"Australian Shepherd/Brittany",53,21,700,15,5,5,4,5,3,4,2,False,4
"Australian Shepherd/Collie Rough",65,39,600,15,5,5,4,4,4,4,4,False,5
"Australian Shepherd/Dalmatian",65,23,700,14,5,5,4,5,3,4,4,False,4
"Australian Shepherd/Feist",68,23,600,15,5,5,4,5,3,3,3,False,5
"Australian Shepherd/German Shepherd",78,24,1050,12,5,5,4,5,3,2,4,False,5
"Australian Shepherd/Greyhound",78,25,775,13,5,4,3,5,2,4,3,False,3
"Australian Shepherd/Jack Russell Terrier",42,18,800,15,4,5,4,5,2,2,3,False,5
"Basenji/Rhod Ridgeback",55,41,1200,14,3,3,5,3,2,2,2,False,3
"Basset Hound/Australian Shepherd",71,19,550,13,5,4,3,5,4,4,3,False,3
"Basset Hound/French Bulldog",51,13,1400,12,3,3,3,5,3,3,2,False,1
"Basset Hound/Golden Retriever",69,19,1250,12,5,4,4,5,4,5,3,False,2
"Beagle/Australian Shepherd",46,19,700,15,5,3,4,5,3,4,3,False,3
"Beagle/Border Terrier",20,16,900,15,5,3,4,5,2,3,2,False,3
"Beagle/Cardigan Welsh Corgi",29,14,1000,15,5,3,4,5,4,4,4,False,3
"Beagle/Chihuahua Longhair",15,13,800,16,3,2,3,5,4,4,2,False,2
"Beagle/Harrier",45,18,600,15,5,2,3,4,2,5,3,False,1
"Beagle/Parson Russell Terrier",20,27,650,15,4,3,4,5,2,3,3,False,3
"Beagle/Vizsla",44,40,1000,15,4,3,4,5,3,4,2,False,2
"Belgian Malinois/German Shepherd",77,26,1100,12,4,5,5,5,4,2,4,False,5
"Bichon Frise/Toy Poodle",15,36,1050,15,2,4,4,5,4,4,1,True,4
"Black Mouth Cur/Rhod Ridgeback",90,45,775,14,4,3,4,3,2,2,2,False,2
"Black Mouth Cur/Siberian Husky",77,24,675,15,4,2,3,4,2,4,4,False,2
"Black/Tan Hound/Siberian Husky",49,21,600,14,3,3,3,3,3,3,3,False,2
"Blue Lacy/Australian Cattle Dog",40,20,775,14,4,4,4,3,3,3,3,False,4
"Blue Lacy/Pointer",60,24,600,14,4,3,3,4,2,4,3,False,4
"Blue Lacy/Weimaraner",61,42,875,13,4,4,4,4,4,4,3,False,3
"Bluetick Hound/Australian Kelpie",46,20,600,14,3,5,4,5,3,3,3,False,5
"Border Collie/American Staffordshire Terrier",66,20,800,14,3,3,4,5,2,2,2,False,5
"Border Collie/Brittany",41,21,750,15,5,5,5,5,3,4,2,False,4
"Border Collie/Dalmatian",53,22,750,14,5,5,5,5,3,4,4,False,4
"Border Collie/English Springer Spaniel",46,21,700,15,4,4,4,5,3,4,3,False,4
"Border Collie/Pembroke Welsh Corgi",35,17,650,15,5,5,4,5,4,3,4,False,5
"Border Collie/Siberian Husky",52,22,850,15,5,3,4,5,2,4,4,False,3
"Border Terrier/Border Collie",29,19,850,15,5,5,4,5,2,2,2,False,5
"Border Terrier/Standard Schnauzer",29,33,1250,14,4,5,3,4,3,3,1,True,5
"Boston Terrier/Australian Kelpie",35,18,700,14,4,4,3,5,4,4,2,False,4
"Boston Terrier/Pembroke Welsh Corgi",25,14,700,14,5,4,3,5,5,4,3,False,4
"Boston Terrier/Pointer",50,22,525,15,5,3,3,5,3,5,2,False,4
"Boston Terrier/Rat Terrier",25,17,650,16,5,4,3,5,4,4,2,False,4
"Boxer/Anatol Shepherd",90,27,1050,13,3,2,3,3,2,1,3,False,5
"Boxer/Border Collie",51,23,950,14,4,4,4,4,3,2,3,False,5
"Boxer/Cardigan Welsh Corgi",46,18,1200,13,4,4,4,4,4,2,4,False,5
"Boxer/Doberman Pinsch",79,19,1100,13,3,4,4,4,3,2,3,False,5
"Boxer/Dogue De Bordeaux",101,25,1250,12,3,3,3,3,3,2,3,False,5
"Boxer/Greyhound",73,26,1075,12,4,3,3,4,2,3,3,False,3
"Boxer/Queensland Heeler",47,22,900,13,4,4,4,3,3,2,3,False,5
"Boykin Span",50,25,800,14,3,3,4,4,3,3,3,False,3
"Brittany/Collie Rough",51,38,700,15,5,5,5,4,4,5,3,False,4
"Bruss Griffon/Chihuahua Longhair",8,15,800,16,1,2,4,4,5,3,1,False,4
"Bruss Griffon/Maltese",9,15,800,15,1,2,4,4,5,4,1,True,4
"Bruss Griffon/Pug",14,24,600,15,2,2,4,4,5,4,2,False,4
"Bull Terrier/Border Collie",64,38,1100,15,4,3,4,4,2,2,3,False,5
"Bulldog/Australian Cattle Dog",42,18,1300,13,5,4,4,4,4,4,3,False,5
"Cairn Terrier/Border Terrier",16,14,1000,15,4,4,4,4,2,2,2,True,5
"Cairn Terrier/Dachshund Wirehair",24,11,800,15,3,2,4,4,3,2,2,False,5
"Cairn Terrier/West Highland",18,14,1100,15,4,3,4,3,3,3,2,True,5
"Cardigan Welsh Corgi/Dachshund",32,11,900,15,3,3,4,5,4,2,3,False,5
"Cardigan Welsh Corgi/Labrador Retriever",56,19,1100,14,5,5,5,5,4,4,4,False,4
"Catahoula/Irish Wolfhound",101,56,1275,11,3,3,3,3,3,3,2,False,3
"Catahoula/Jack Russell Terrier",49,18,775,15,3,4,4,4,2,1,3,False,5
"Catahoula/Mastiff",125,29,1025,13,4,3,3,4,4,2,3,False,5
"Catahoula/Treeing Walker Coonhound",74,46,575,13,3,2,3,3,2,2,3,False,3
"Cavalier Span/Toy Poodle",14,36,1500,14,2,4,4,5,3,4,2,False,3
"Chesa Bay Retr/Labrador Retriever",79,25,1000,13,5,5,5,5,4,5,3,False,3
"Chihuahua Longhair/Chihuahua Shorthair",6,10,800,18,1,3,3,5,5,3,1,False,4
"Chihuahua Longhair/Cocker Spaniel",18,13,800,16,3,3,3,5,4,4,2,False,3
"Chihuahua Longhair/Dachshund Longhair",19,9,700,16,1,2,3,5,4,2,1,False,4
"Chihuahua Longhair/Jack Russell Terrier",11,12,900,17,2,4,4,5,3,2,2,False,4
"Chihuahua Longhair/Queensland Heeler",20,15,700,16,3,4,4,4,4,3,2,False,4
"Chihuahua Longhair/Rat Terrier",15,14,650,18,3,4,3,5,4,3,2,False,4
"Chihuahua Shorthair/Border Collie",25,16,750,17,3,4,4,5,4,3,2,False,4
"Chihuahua Shorthair/Cirneco",6,10,800,18,1,3,3,5,5,3,1,False,4
"Chihuahua Shorthair/Mexican Hairless",12,12,800,16,2,3,3,5,5,4,1,False,4
"Chihuahua Shorthair/Papillon",8,10,650,16,3,3,4,5,3,2,1,False,4
"Chinese Sharpei/American Bulldog",86,61,1200,12,2,3,3,3,3,2,2,False,3
"Chinese Sharpei/American Staffordshire Terrier",70,34,1200,11,1,2,3,4,2,1,1,False,4
"Chinese Sharpei/Boxer",55,37,1350,11,2,3,4,3,3,2,2,False,4
"Chinese Sharpei/Bull Terrier",68,53,1500,12,2,2,4,3,2,2,2,False,4
"Chow Chow/American Eskimo",40,26,975,15,2,3,3,3,2,2,5,False,4
"Chow Chow/Irish Setter",66,23,1075,15,3,2,3,3,3,3,4,False,3
"Cocker Spaniel/Beagle",27,16,800,15,5,2,4,5,3,5,3,False,2
"Cocker Spaniel/Dachshund Longhair",31,12,700,15,3,2,4,5,3,3,2,False,4
"Cocker Spaniel/Pembroke Welsh Corgi",28,14,700,14,5,4,4,5,4,4,4,False,4
"Cocker Spaniel/Shetland Sheepdog",28,16,750,14,4,4,4,5,4,4,3,False,4
"Collie Rough/Golden Retriever",63,39,1300,14,5,5,5,4,4,5,4,False,4
"Collie Smooth/Beagle",50,38,900,15,5,3,4,4,4,5,4,False,3
"Collie Smooth/Boxer",67,42,1100,13,4,4,4,4,4,3,4,False,5
"Collie Smooth/Saluki",67,44,900,14,4,3,3,4,3,4,3,False,3
"Coton De Tulear",13,12,1200,16,5,5,5,5,5,5,1,True,3
"Dachshund Longhair/Miniature Poodle",21,34,1050,15,2,3,4,5,3,3,1,False,5
"Dachshund Longhair/Toy Poodle",21,34,1050,15,2,3,4,5,3,3,1,False,5
"Dachshund Stan Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"Dachshund Wirehair/Yorkshire Terrier",20,9,650,15,1,2,4,5,3,2,2,False,4
"Dachshund/Swedish Vallhund",31,21,800,14,3,3,3,5,4,2,3,False,5
"Dalmatian/Basset Hound",69,19,650,12,5,4,4,5,4,5,4,False,2
"Dalmatian/Pointer",69,25,525,14,5,4,4,5,2,5,4,False,4
"Dandie Dinmont",50,25,800,14,3,3,4,4,3,3,3,False,3
"Doberman Pinsch/Catahoula",90,18,775,14,3,4,4,4,3,2,3,False,5
"Dogue De Bordeaux/Labrador Retriever",111,25,1150,12,4,4,4,4,3,3,3,False,4
"Dutch Shepherd/Boxer",62,24,1350,13,3,3,3,3,3,2,3,False,4
"Dutch Shepherd/Labrador Retriever",72,24,1250,13,4,4,4,4,3,4,3,False,3
"Dutch Shepherd/Mastiff",117,30,1500,13,4,3,3,4,4,3,3,False,4
"Eng Toy Spaniel Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"English Bulldog/Staffordshire",57,50,2150,14,3,2,3,3,2,2,3,False,3
"English Pointer/Labrador Retriever",77,26,625,14,5,4,4,5,2,5,3,False,4
"Feist/Chihuahua Shorthair",6,10,800,18,1,3,3,5,5,3,1,False,4
"Flat Coat Retriever",70,23,1000,10,4,5,5,5,3,4,3,False,5
"Flat Coat Retriever/Chow Chow",70,22,1100,12,3,3,4,3,2,2,4,False,4
"French Bulldog/Pug",22,20,1350,13,3,3,3,5,3,3,2,False,3
"German Shepherd/Basenji",57,21,1350,13,3,3,5,4,2,2,3,False,5
"German Shepherd/English Coonhound",75,26,1225,11,4,4,4,4,3,2,4,False,4
"German Shepherd/German Shepherd",88,26,1500,10,5,5,5,5,3,2,5,False,5
"German Shepherd/Smooth Fox Terrier",52,20,1100,12,5,4,5,5,2,2,4,False,5
"German Shepherd/Weimaraner",82,44,1150,11,5,5,5,5,4,3,4,False,4
"German Shorthair Pointer/Brittany",49,22,700,14,4,5,4,5,2,4,3,False,3
"German Wirehaired Pointer/Labrador Retriever",74,26,900,13,4,5,5,5,2,5,2,False,4
"Golden Retriever/Cocker Spaniel",46,19,1400,14,5,4,4,5,3,5,3,False,3
"Golden Retriever/Collie Rough",63,39,1300,14,5,5,5,4,4,5,4,False,4
"Gordon Setter Mix",68,26,1000,12,5,5,5,5,3,2,3,False,5
"Great Dane/Anatol Shepherd",125,31,1050,13,3,2,3,2,2,2,3,False,5
"Great Dane/Australian Shepherd",98,27,900,13,4,4,3,4,3,3,3,False,5
"Great Dane/Boerboel",152,30,1450,12,3,3,3,3,3,3,3,False,4
"Great Pyrenees/Alaskan Husky",104,28,800,15,3,2,3,4,3,4,4,False,3
"Great Pyrenees/Queensland Heeler",76,26,750,13,4,3,4,3,3,3,4,False,5
"Great Pyrenees/St. Bernard Rough Coat",191,61,1350,11,4,2,3,4,4,4,4,False,5
"Greater Swiss Mountain Dog",154,28,700,11,4,4,4,3,3,4,3,False,5
"Greyhound/Airedale Terrier",76,25,850,12,4,3,3,5,1,3,3,False,3
"Harrier/German Shepherd",76,23,950,12,5,4,4,4,2,3,4,False,3
"Harrier/Pit Bull",65,21,550,14,3,2,3,4,1,3,2,False,3
"Irish Terrier/Border Terrier",21,30,850,14,4,3,4,5,2,2,1,True,5
"Irish Terrier/Irish Wolfhound",74,67,1350,11,4,2,3,4,2,3,2,False,3
"Italian Greyhound/Cavalier Span",16,14,1100,14,2,3,3,5,3,4,2,False,3
"Jack Russell Terrier/Brittany",28,17,900,15,4,5,5,5,2,3,2,False,4
"Jack Russell Terrier/Chihuahua Longhair",11,12,900,17,2,4,4,5,3,2,2,False,4
"Jack Russell Terrier/Maltese",12,12,900,15,2,4,4,5,3,3,2,False,4
"Jack Russell Terrier/Manchester Terrier",19,28,825,16,3,4,4,5,2,2,3,False,5
"Jindo/Labrador Retriever",79,25,1000,13,5,5,5,5,4,5,3,False,3
"Labrador Retriever/Alaskan Malamute",81,24,1250,14,4,3,4,4,2,3,4,False,4
"Labrador Retriever/American Foxhound",71,24,775,12,5,4,4,5,3,5,2,False,2
"Labrador Retriever/Brittany",59,22,900,14,5,5,5,5,3,5,2,False,3
"Labrador Retriever/English Springer Spaniel",63,22,850,13,4,4,4,5,3,5,3,False,3
"Labrador Retriever/Irish Setter",71,24,975,14,5,4,4,5,4,5,3,False,3
"Labrador Retriever/Pug",48,26,700,14,4,4,4,5,4,5,3,False,3
"Labrador Retriever/Shiba Inu",48,34,1000,14,4,3,4,4,3,4,3,False,4
"Labrador Retriever/Whippet",54,40,1100,14,4,4,4,4,2,4,2,False,2
"Lhasa Apso/Border Terrier",15,22,800,14,5,4,3,5,3,3,2,False,4
"Lowchen/Miniature Poodle",12,48,1000,14,2,4,4,5,4,3,1,True,4
"Maltese/Dalmatian",35,16,800,14,3,4,4,5,4,5,3,False,3
"Maltese/Lhasa Apso",11,19,700,14,3,3,3,5,5,5,2,False,3
"Manchester Terrier",22,42,650,16,3,3,4,5,3,3,3,False,5
"Manchester Terrier/Chihuahua Longhair",14,26,725,17,2,3,3,5,4,3,2,False,4
"Manchester Terrier/Labrador Retriever",50,33,825,14,4,4,4,5,3,4,3,False,4
"Manchester Terrier/Pembroke Welsh Corgi",24,27,625,15,4,4,4,5,4,3,4,False,5
"Mastiff/Cane Corso",169,36,1500,12,5,3,3,5,5,3,3,False,5
"Mastiff/Dutch Shepherd",117,30,1500,13,4,3,3,4,4,3,3,False,4
"Mastiff/German Shepherd",128,31,1500,11,5,4,4,5,4,2,4,False,5
"Miniature Pinscher/Dachshund",21,18,600,15,2,3,4,4,3,2,1,False,4
"Miniature Pinscher/Pug",14,28,500,15,3,3,4,4,4,3,2,False,4
"Miniature Pinscher/Smooth Fox Terrier",14,21,650,15,4,3,5,4,2,2,2,False,4
"Miniature Pinscher/Whippet",20,42,900,15,3,3,4,4,2,2,2,False,2
"Miniature Poodle/American Eskimo",10,45,1125,15,2,5,4,5,3,4,3,False,5
"Miniature Poodle/Beagle",17,38,1150,15,3,3,4,5,3,4,2,False,3
"Miniature Poodle/Border Terrier",12,38,1250,15,3,5,4,5,3,3,1,True,5
"Miniature Poodle/West Highland",15,38,1350,15,3,4,4,4,3,4,1,True,5
"Miniature Schnauzer/Border Collie",32,18,850,15,4,5,5,5,3,3,2,False,5
"Miniature Schnauzer/Border Terrier",17,15,1000,15,4,5,4,5,2,2,1,True,5
"Miniature Schnauzer/Pug",18,21,700,15,3,4,4,5,4,4,2,False,4
"Norfolk Terrier/Bruss Griffon",11,15,1650,15,2,3,4,4,4,4,2,True,4
"Norfolk Terrier/Standard Poodle",11,35,2000,15,3,5,4,5,4,4,2,True,5
"Norwich Terrier/Yorkshire Terrier",10,17,1100,15,2,2,4,5,4,3,2,True,3
"Nova Scotia Duck Tolling Retriever/Border Collie",44,22,700,16,5,5,5,5,3,3,3,False,5
"Old English Bulldog",50,25,800,14,3,3,4,4,3,3,3,False,3
"Old English Sheepdog Mix",79,56,1300,12,5,3,4,3,3,3,5,False,5
"Papillon/Miniature Poodle",10,35,1000,15,3,4,5,5,2,3,1,False,5
"Papillon/Yorkshire Terrier",9,10,600,15,3,3,4,5,2,2,2,False,4
"Parson Russell Terrier/Beagle",20,27,650,15,4,3,4,5,2,3,3,False,3
"Pbgv/Jack Russell Terrier",17,14,1000,16,3,5,5,5,1,1,3,False,5
"Pekingese/Catahoula",47,16,575,14,2,2,3,4,4,2,3,False,4
"Pembroke Welsh Corgi/Anatol Shepherd",73,21,750,14,4,3,3,3,3,2,4,False,5
"Pembroke Welsh Corgi/Australian Cattle Dog",30,16,600,14,5,5,4,4,4,3,4,False,5
"Pit Bull/Alaskan Husky",77,23,700,16,2,2,3,5,1,3,2,False,3
"Pit Bull/Anatol Shepherd",93,26,800,14,2,2,3,3,1,1,2,False,5
"Pit Bull/Carolina Dog",65,23,825,14,2,2,3,4,2,2,2,False,4
"Pit Bull/Doberman Pinsch",82,18,850,14,3,3,4,5,2,1,2,False,5
"Pit Bull/Jack Russell Terrier",41,18,850,15,2,3,4,5,1,1,2,False,5
"Pit Bull/Pharaoh Hound",62,23,1000,14,3,2,3,5,1,2,1,False,3
"Plott Hound/Bull Terrier",70,56,900,14,3,2,4,3,2,2,3,False,5
"Plott Hound/German Shepherd",71,42,900,12,4,4,4,4,2,2,4,False,5
"Plott Hound/Mastiff",112,47,900,13,4,3,3,4,3,3,3,False,5
"Plott Hound/Whippet",42,57,750,14,3,3,3,3,1,3,2,False,3
"Pointer/Australian Kelpie",60,24,425,14,4,4,4,5,2,4,3,False,5
"Pointer/Ibizan Hound",69,27,825,14,4,2,3,4,1,4,3,False,4
"Pomeranian/American Eskimo",8,21,775,15,1,4,3,5,4,3,3,False,3
"Pomeranian/Shetland Sheepdog",16,14,750,14,2,4,4,5,5,3,2,False,3
"Pug/Boston Terrier",21,22,600,15,4,3,3,5,5,5,2,False,3
"Pug/French Bulldog",22,20,1350,13,3,3,3,5,3,3,2,False,3
"Queensland Heeler/German Shepherd",61,23,1050,12,5,5,5,4,3,2,4,False,5
"Queensland Heeler/Parson Russell Terrier",25,29,550,15,4,5,4,4,2,2,3,False,5
"Rat Terrier/Cairn Terrier",21,15,750,16,4,4,4,4,3,3,3,False,5
"Rat Terrier/English Pointer",50,23,375,16,5,4,4,5,2,4,3,False,5
"Rat Terrier/Pembroke Welsh Corgi",25,15,550,16,5,5,4,5,4,3,4,False,5
"Redbone Hound/Australian Cattle Dog",51,44,700,13,5,4,4,4,2,4,2,False,3
"Redbone Hound/Boxer",63,46,1000,12,4,3,3,4,2,3,2,False,3
"Redbone Hound/Dachshund",50,38,700,13,3,2,3,5,2,3,1,False,3
"Rhod Ridgeback/Bullmastiff",107,46,1350,11,4,3,4,3,1,1,2,False,3
"Rhod Ridgeback/Harrier",75,43,800,13,5,3,4,3,2,3,2,False,1
"Rhod Ridgeback/Mastiff",127,51,1350,12,5,3,4,4,3,2,2,False,3
"Rottweiler/Boxer",94,25,1600,11,2,3,4,3,3,1,3,False,5
"Saluki/Doberman Pinsch",79,21,900,14,3,3,4,5,2,2,2,False,3
"Samoyed",55,56,1500,14,5,3,3,4,3,4,5,True,5
"Schnauzer Giant/Labrador Retriever",76,25,1000,14,4,4,4,4,3,3,3,False,4
"Scottish Terrier",22,28,900,15,2,2,4,3,3,3,2,True,5
"Shetland Sheepdog/Italian Greyhound",20,15,700,14,2,3,4,5,4,3,2,False,4
"Shiba Inu/Chinese Sharpei",34,47,1250,13,2,2,3,3,2,2,2,False,4
"Shiba Inu/German Shepherd",52,34,1250,12,4,3,4,4,2,2,4,False,5
"Siberian Husky/Alaskan Malamute",71,23,1250,15,4,1,3,4,1,3,5,False,3
"Siberian Husky/Cardigan Welsh Corgi",46,18,1100,15,5,3,4,5,3,4,5,False,3
"Siberian Husky/Chinese Sharpei",56,37,1250,13,3,2,4,4,2,3,3,False,2
"Siberian Husky/Great Pyrenees",89,27,950,13,4,1,4,4,2,4,5,False,3
"Siberian Husky/Rottweiler",94,25,1500,12,3,2,4,4,2,3,4,False,3
"Silky Terrier",10,10,600,15,2,4,4,3,3,2,1,True,5
"Silky Terrier/Maltese",9,10,700,15,1,3,3,4,4,3,1,True,4
"Smooth Fox Terrier/Jack Russell Terrier",17,14,850,15,4,4,5,5,1,1,3,False,5
"Smooth Fox Terrier/Rat Terrier",21,16,600,16,5,4,4,5,2,3,3,False,5
"Soft Coated Wheaten Terrier/Border Terrier",27,32,950,15,4,4,4,5,2,3,1,True,5
"Soft Coated Wheaten Terrier/Chihuahua Shorthair",22,29,850,16,2,3,3,5,4,3,1,False,4
"Staffordshire/Australian Cattle Dog",35,30,1200,14,4,3,4,3,2,2,3,False,4
"Staffordshire/Bulldog",42,28,1900,13,4,2,3,4,3,3,3,False,4
"Standard Schnauzer/Soft Coated Wheaten Terrier",41,49,1200,14,4,4,3,4,3,4,2,True,5
"Standard Schnauzer/Standard Poodle",27,55,1500,14,3,5,4,4,4,4,1,True,5
"Toy Fox Terrier/Yorkshire Terrier",8,19,750,15,2,4,4,5,4,2,3,False,4
"Toy Poodle/Cocker Spaniel",20,38,1150,15,3,4,4,5,3,4,2,False,4
"Treeing Walker Coonhound",68,69,600,13,4,2,3,3,1,3,3,False,1
"Treeing Walker Coonhound/Australian Cattle Dog",51,44,600,14,4,3,4,3,2,3,3,False,3
"Vizsla/Beagle",44,40,1000,15,4,3,4,5,3,4,2,False,2
"Vizsla/Dachshund",47,36,900,15,2,3,4,5,3,2,1,False,4
"Vizsla/German Shepherd",75,45,1350,12,4,5,5,5,3,2,3,False,4
"Welsh Terrier",22,37,800,15,4,3,4,5,2,2,1,True,5
"Welsh Terrier/Wire Hair Fox Terrier",21,26,800,14,4,3,3,5,1,2,2,True,5
"Whippet/Rat Terrier",27,37,850,16,4,4,3,4,2,3,2,False,3
"Whippet/Treeing Cur",30,56,1200,15,3,3,3,4,1,3,2,True,1
"Wire Hair Fox Terrier/Golden Retriever",42,19,1400,13,5,4,4,5,2,3,3,False,4
"Yorkshire Terrier/Chinese Crested",9,10,800,15,2,3,3,4,4,2,2,True,3
"Yorkshire Terrier/Shih Tzu",12,18,950,15,1,3,3,5,4,3,2,True,4
